"Participant_id","Gender","Women_Protection","Religion_Level","Age","Highest_Edu_Lvl"
57773,0,1,3,65,322
57775,1,3,7,51,322
57784,0,2,0,56,322
57792,0,1,7,58,423
57918,1,2,7,74,322
57930,1,4,7,19,212
57947,0,3,5,31,423
57951,1,2,7,69,322
57955,1,3,0,19,322
57978,0,3,4,50,322
57992,1,2,0,15,213
57995,0,2,8,88,5555
57999,1,4,5,53,610
58013,1,5,5,87,423
58021,1,3,4,53,322
58026,0,2,7,77,322
58066,1,3,6,53,322
58092,1,3,8,90,212
58093,1,2,2,75,212
58125,1,1,8,61,212
58127,0,3,5,49,322
58132,0,2,3,26,423
58149,1,2,6,70,322
58152,1,2,8,85,212
58153,1,5,4,43,322
58171,1,2,6,72,322
58177,1,2,8,78,212
58187,0,2,7,41,212
58226,1,3,5,31,322
58238,0,3,9,86,720
58247,1,2,9,77,212
58262,1,1,7,73,423
58270,1,2,10,37,322
58310,1,3,2,70,610
58317,0,3,7,47,423
58341,0,3,2,37,620
58346,0,3,5,63,720
58355,0,3,0,68,322
58369,0,2,0,58,212
58416,1,2,6,51,322
58417,0,3,7,35,710
58441,1,2,10,76,212
58444,1,3,0,58,322
58471,1,2,6,29,322
58476,1,2,8,64,322
58478,1,1,6,30,720
58486,1,4,2,27,313
58505,1,2,8,78,212
58506,1,3,8,71,322
58510,1,2,4,69,422
58523,1,2,7,41,313
58536,0,2,8,74,800
58551,0,2,0,83,423
58554,0,2,4,49,322
58587,1,4,10,87,422
58611,0,2,4,48,423
58624,1,2,2,59,212
58690,0,3,4,57,322
58702,0,2,0,44,322
58705,1,3,3,64,322
58708,1,2,2,41,322
58726,1,3,0,19,212
58730,0,2,0,52,0
58757,1,1,9,71,322
58764,1,2,0,59,5555
58767,1,2,7,29,322
58790,1,4,6,53,322
58802,0,2,8,76,322
58810,0,3,3,55,322
58854,1,4,7,50,322
58857,1,3,0,55,322
58858,1,3,1,31,423
58875,0,2,5,74,322
58916,1,2,5,39,423
58942,1,5,7,64,423
58946,0,2,0,43,322
